Image,TimePrediction,LastPrice,FuturePrice,Label
images/MPA/SmallCap_2023-01-01 00:00:00_7.png,5,97.029999,101.410004,1
images/CPA/SmallCap_2023-01-01 00:00:00_7.png,5,97.029999,101.410004,1
images/MLC/SmallCap_2023-01-01 00:00:00_7.png,5,97.029999,101.410004,1
images/API/SmallCap_2023-01-01 00:00:00_7.png,5,97.029999,101.410004,1
images/MPA/SmallCap_2023-01-02 00:00:00_7.png,5,97.029999,101.050003,1
images/CPA/SmallCap_2023-01-02 00:00:00_7.png,5,97.029999,101.050003,1
images/MLC/SmallCap_2023-01-02 00:00:00_7.png,5,97.029999,101.050003,1
images/API/SmallCap_2023-01-02 00:00:00_7.png,5,97.029999,101.050003,1
images/MPA/SmallCap_2023-01-03 00:00:00_7.png,5,98.279999,101.050003,1
images/CPA/SmallCap_2023-01-03 00:00:00_7.png,5,98.279999,101.050003,1
images/MLC/SmallCap_2023-01-03 00:00:00_7.png,5,98.279999,101.050003,1
images/API/SmallCap_2023-01-03 00:00:00_7.png,5,98.279999,101.050003,1
images/MPA/SmallCap_2023-01-04 00:00:00_7.png,5,99.389999,101.050003,1
images/CPA/SmallCap_2023-01-04 00:00:00_7.png,5,99.389999,101.050003,1
images/MLC/SmallCap_2023-01-04 00:00:00_7.png,5,99.389999,101.050003,1
images/API/SmallCap_2023-01-04 00:00:00_7.png,5,99.389999,101.050003,1
images/MPA/SmallCap_2023-01-05 00:00:00_7.png,5,100.790001,101.050003,1
images/CPA/SmallCap_2023-01-05 00:00:00_7.png,5,100.790001,101.050003,1
images/MLC/SmallCap_2023-01-05 00:00:00_7.png,5,100.790001,101.050003,1
images/API/SmallCap_2023-01-05 00:00:00_7.png,5,100.790001,101.050003,1
images/MPA/SmallCap_2023-01-06 00:00:00_7.png,5,101.410004,99.459999,0
images/CPA/SmallCap_2023-01-06 00:00:00_7.png,5,101.410004,99.459999,0
images/MLC/SmallCap_2023-01-06 00:00:00_7.png,5,101.410004,99.459999,0
images/API/SmallCap_2023-01-06 00:00:00_7.png,5,101.410004,99.459999,0
images/MPA/SmallCap_2023-01-07 00:00:00_7.png,5,101.050003,98.610001,0
images/CPA/SmallCap_2023-01-07 00:00:00_7.png,5,101.050003,98.610001,0
images/MLC/SmallCap_2023-01-07 00:00:00_7.png,5,101.050003,98.610001,0
images/API/SmallCap_2023-01-07 00:00:00_7.png,5,101.050003,98.610001,0
images/MPA/SmallCap_2023-01-08 00:00:00_7.png,5,101.050003,100.089996,0
images/CPA/SmallCap_2023-01-08 00:00:00_7.png,5,101.050003,100.089996,0
images/MLC/SmallCap_2023-01-08 00:00:00_7.png,5,101.050003,100.089996,0
images/API/SmallCap_2023-01-08 00:00:00_7.png,5,101.050003,100.089996,0
images/MPA/SmallCap_2023-01-09 00:00:00_7.png,5,101.050003,101.190002,1
images/CPA/SmallCap_2023-01-09 00:00:00_7.png,5,101.050003,101.190002,1
images/MLC/SmallCap_2023-01-09 00:00:00_7.png,5,101.050003,101.190002,1
images/API/SmallCap_2023-01-09 00:00:00_7.png,5,101.050003,101.190002,1
images/MPA/SmallCap_2023-01-10 00:00:00_7.png,5,101.050003,101.190002,1
images/CPA/SmallCap_2023-01-10 00:00:00_7.png,5,101.050003,101.190002,1
images/MLC/SmallCap_2023-01-10 00:00:00_7.png,5,101.050003,101.190002,1
images/API/SmallCap_2023-01-10 00:00:00_7.png,5,101.050003,101.190002,1
images/MPA/SmallCap_2023-01-11 00:00:00_7.png,5,99.459999,101.190002,1
images/CPA/SmallCap_2023-01-11 00:00:00_7.png,5,99.459999,101.190002,1
images/MLC/SmallCap_2023-01-11 00:00:00_7.png,5,99.459999,101.190002,1
images/API/SmallCap_2023-01-11 00:00:00_7.png,5,99.459999,101.190002,1
images/MPA/SmallCap_2023-01-12 00:00:00_7.png,5,98.610001,100.839996,1
images/CPA/SmallCap_2023-01-12 00:00:00_7.png,5,98.610001,100.839996,1
images/MLC/SmallCap_2023-01-12 00:00:00_7.png,5,98.610001,100.839996,1
images/API/SmallCap_2023-01-12 00:00:00_7.png,5,98.610001,100.839996,1
images/MPA/SmallCap_2023-01-13 00:00:00_7.png,5,100.089996,101.089996,1
images/CPA/SmallCap_2023-01-13 00:00:00_7.png,5,100.089996,101.089996,1
images/MLC/SmallCap_2023-01-13 00:00:00_7.png,5,100.089996,101.089996,1
images/API/SmallCap_2023-01-13 00:00:00_7.png,5,100.089996,101.089996,1
images/MPA/SmallCap_2023-01-14 00:00:00_7.png,5,101.190002,101.809998,1
images/CPA/SmallCap_2023-01-14 00:00:00_7.png,5,101.190002,101.809998,1
images/MLC/SmallCap_2023-01-14 00:00:00_7.png,5,101.190002,101.809998,1
images/API/SmallCap_2023-01-14 00:00:00_7.png,5,101.190002,101.809998,1
images/MPA/SmallCap_2023-01-15 00:00:00_7.png,5,101.190002,102.220001,1
images/CPA/SmallCap_2023-01-15 00:00:00_7.png,5,101.190002,102.220001,1
images/MLC/SmallCap_2023-01-15 00:00:00_7.png,5,101.190002,102.220001,1
images/API/SmallCap_2023-01-15 00:00:00_7.png,5,101.190002,102.220001,1
images/MPA/SmallCap_2023-01-16 00:00:00_7.png,5,101.190002,101.089996,0
images/CPA/SmallCap_2023-01-16 00:00:00_7.png,5,101.190002,101.089996,0
images/MLC/SmallCap_2023-01-16 00:00:00_7.png,5,101.190002,101.089996,0
images/API/SmallCap_2023-01-16 00:00:00_7.png,5,101.190002,101.089996,0
